"trial_type","trial_index","time_elapsed","internal_node_id","value","rt","stimulus","key_press","responses","success","hand","test","gap","finger","cue","con","correct_response","correct","response"
"html-keyboard-response","236","24694","0.0-11.0-2.0","","null","<p> INCORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","4642","47731","0.0-11.1-1.1","","556","Stim/Stim-GB/NI_M.PNG","72","","","1","exp","700","1","1","IC","h","true",""
"html-keyboard-response","4643","49234","0.0-11.1-2.1","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","4644","50812","0.0-12.0-1.0","","574","Stim/Stim-GB/II_I.PNG","71","","","2","exp","100","1","0","C","g","true",""
"html-keyboard-response","4645","52313","0.0-12.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","4646","53843","0.0-13.0-1.0","","528","Stim/Stim-GB/IN_M.PNG","72","","","1","exp","400","1","1","IC","h","true",""
"html-keyboard-response","4647","55346","0.0-13.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","4648","56796","0.0-14.0-1.0","","446","Stim/Stim-BG/II_I.PNG","71","","","2","exp","100","1","0","C","g","true",""
"html-keyboard-response","4649","58299","0.0-14.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","4650","59732","0.0-15.0-1.0","","429","Stim/Stim-GB/II_I.PNG","71","","","2","exp","400","1","0","C","g","true",""
"html-keyboard-response","4651","61233","0.0-15.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","4652","62884","0.0-16.0-1.0","","648","Stim/Stim-GB/MM_M.PNG","72","","","2","exp","100","2","1","C","h","true",""
"html-keyboard-response","4653","64387","0.0-16.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","4654","65892","0.0-17.0-1.0","","502","Stim/Stim-BG/MN_M.PNG","72","","","1","exp","100","2","1","C","h","true",""
"html-keyboard-response","4655","67394","0.0-17.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"html-keyboard-response","4656","70611","0.0-18.0","","3216","<div class = 'my_window'><p>Now let's move onto practicing the interval estimation.<p><br><p>In this part, releasing the key will cause the audio tone to play. For the purposes of this practice, the audio tone will play either 1ms, 500ms, or 1000ms after your key release.</p><p>Your job is to choose either one of those options on a sliding scale (the slider starts at 500ms -- move to the left extreme for 1ms and the right extreme for 1000ms).</p><p>As a frame of reference: the duration of one eyeblink is estimated to be around 300-400ms.</p><br><p>Press ENTER to begin the practice trials.</p></div>","13","","","","","","","","","","",""
"fixation-image-keyboard-release","4872","73260","0.0-19.0-1.0","","489","Stim/Stim-GB/II_I.PNG","72","","","2","exp","1","1","0","C","g","false",""
"audio-keyboard-response","4873","73522","0.0-19.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","4874","74024","0.0-19.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","4875","79253","0.0-19.0-4.0","","5219","","","","","","","","","","","","","1"
"html-keyboard-response","4876","80255","0.0-19.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","4877","80255","0.0-19.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","4933","82004","0.0-20.0-1.0","","460","Stim/Stim-GB/II_I.PNG","71","","","2","exp","500","1","0","C","g","true",""
"audio-keyboard-response","4934","82760","0.0-20.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","4935","83262","0.0-20.0-3.0","","","","","","","","","","","","","","",""
