"trial_type","trial_index","time_elapsed","internal_node_id","value","rt","stimulus","key_press","responses","success","hand","test","gap","finger","cue","con","correct_response","correct","response"
"call-function","176","74206","0.0-19.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","201","76177","0.0-20.0-1.0","","472","Stim/Stim-GB/II_M.PNG","72","","","2","exp","500","1","1","IC","h","true",""
"audio-keyboard-response","202","76937","0.0-20.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","203","77456","0.0-20.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","204","78803","0.0-20.0-4.0","","1344","","","","","","","","","","","","","500"
"html-keyboard-response","205","79816","0.0-20.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","206","79817","0.0-20.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","231","81738","0.0-21.0-1.0","","472","Stim/Stim-BG/NI_M.PNG","72","","","1","exp","500","1","1","IC","h","true",""
"audio-keyboard-response","232","82497","0.0-21.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","233","83005","0.0-21.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","234","84075","0.0-21.0-4.0","","1067","","","","","","","","","","","","","500"
"html-keyboard-response","235","85086","0.0-21.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","236","85086","0.0-21.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","279","87354","0.0-22.0-1.0","","449","Stim/Stim-BG/NM_M.PNG","72","","","1","exp","1","2","1","C","h","true",""
"audio-keyboard-response","280","87608","0.0-22.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","281","88121","0.0-22.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","282","90778","0.0-22.0-4.0","","2656","","","","","","","","","","","","","1"
"html-keyboard-response","283","91785","0.0-22.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","284","91786","0.0-22.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","303","93698","0.0-23.0-1.0","","553","Stim/Stim-GB/NM_I.PNG","71","","","1","exp","1000","2","0","IC","g","true",""
"audio-keyboard-response","304","94967","0.0-23.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","305","95476","0.0-23.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","306","98402","0.0-23.0-4.0","","2924","","","","","","","","","","","","","1000"
"html-keyboard-response","307","99416","0.0-23.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","308","99416","0.0-23.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","325","101169","0.0-24.0-1.0","","463","Stim/Stim-GB/II_I.PNG","71","","","2","exp","500","1","0","C","g","true",""
"audio-keyboard-response","326","101937","0.0-24.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","327","102456","0.0-24.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","328","104403","0.0-24.0-4.0","","1944","","","","","","","","","","","","","1000"
"html-keyboard-response","329","105405","0.0-24.0-5.0","","null","<p> INCORRECT </p>","null","","","","","","","","","","",""
"call-function","330","105405","0.0-24.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","350","107226","0.0-24.1-1.1","","450","Stim/Stim-GB/MN_M.PNG","72","","","1","exp","500","2","1","C","h","true",""
"audio-keyboard-response","351","107987","0.0-24.1-2.1","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","352","108496","0.0-24.1-3.1","","","","","","","","","","","","","","",""
"image-slider-response","353","109410","0.0-24.1-4.1","","911","","","","","","","","","","","","","500"
"html-keyboard-response","354","110425","0.0-24.1-5.1","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","355","110426","0.0-24.1-6.1","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","370","112202","0.0-25.0-1.0","","495","Stim/Stim-GB/II_I.PNG","71","","","2","exp","1000","1","0","C","g","true",""
"audio-keyboard-response","371","113457","0.0-25.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","372","113962","0.0-25.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","373","115962","0.0-25.0-4.0","","1998","","","","","","","","","","","","","1000"
"html-keyboard-response","374","116966","0.0-25.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","375","116966","0.0-25.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","393","118802","0.0-26.0-1.0","","516","Stim/Stim-GB/NM_I.PNG","71","","","1","exp","1","2","0","IC","g","true",""
"audio-keyboard-response","394","119057","0.0-26.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","395","119566","0.0-26.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","396","121833","0.0-26.0-4.0","","2267","","","","","","","","","","","","","1"
"html-keyboard-response","397","122835","0.0-26.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","398","122836","0.0-26.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","422","124818","0.0-27.0-1.0","","522","Stim/Stim-GB/IN_M.PNG","72","","","1","exp","500","1","1","IC","h","true",""
"audio-keyboard-response","423","125587","0.0-27.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","424","126096","0.0-27.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","425","126874","0.0-27.0-4.0","","776","","","","","","","","","","","","","500"
"html-keyboard-response","426","127886","0.0-27.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","427","127886","0.0-27.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","443","129587","0.0-28.0-1.0","","391","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","1000","2","1","C","h","true",""
"audio-keyboard-response","444","130847","0.0-28.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","445","131356","0.0-28.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","446","133274","0.0-28.0-4.0","","1917","","","","","","","","","","","","","1000"
"html-keyboard-response","447","134276","0.0-28.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","448","134276","0.0-28.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","469","136178","0.0-29.0-1.0","","482","Stim/Stim-BG/II_I.PNG","71","","","2","exp","500","1","0","C","g","true",""
"audio-keyboard-response","470","136947","0.0-29.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","471","137456","0.0-29.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","472","138018","0.0-29.0-4.0","","560","","","","","","","","","","","","","500"
"html-keyboard-response","473","139036","0.0-29.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","474","139037","0.0-29.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","495","140898","0.0-30.0-1.0","","442","Stim/Stim-GB/NI_M.PNG","72","","","1","exp","1000","1","1","IC","h","true",""
"audio-keyboard-response","496","142167","0.0-30.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","497","142676","0.0-30.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","498","144362","0.0-30.0-4.0","","1685","","","","","","","","","","","","","1000"
"html-keyboard-response","499","145376","0.0-30.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","500","145376","0.0-30.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","517","147146","0.0-31.0-1.0","","431","Stim/Stim-BG/NM_M.PNG","72","","","1","exp","1","2","1","C","h","true",""
"audio-keyboard-response","518","147407","0.0-31.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","519","147916","0.0-31.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","520","150162","0.0-31.0-4.0","","2244","","","","","","","","","","","","","1"
"html-keyboard-response","521","151166","0.0-31.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","522","151166","0.0-31.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","540","153122","0.0-32.0-1.0","","595","Stim/Stim-BG/NI_M.PNG","72","","","1","exp","1000","1","1","IC","h","true",""
"audio-keyboard-response","541","154377","0.0-32.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","542","154896","0.0-32.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","543","156562","0.0-32.0-4.0","","1664","","","","","","","","","","","","","1000"
"html-keyboard-response","544","157565","0.0-32.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","545","157565","0.0-32.0-6.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","566","159418","0.0-33.0-1.0","","495","Stim/Stim-GB/MM_M.PNG","72","","","2","exp","1","2","1","C","h","true",""
"audio-keyboard-response","567","159687","0.0-33.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","568","160206","0.0-33.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","569","162506","0.0-33.0-4.0","","2298","","","","","","","","","","","","","1"
"html-keyboard-response","570","163526","0.0-33.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"call-function","571","163526","0.0-33.0-6.0","","","","","","","","","","","","","","",""
"call-function","572","163528","0.0-34.0","","","","","","","","","","","","","","",""
"survey-html-form","573","165803","0.0-35.0","","2274","","","{""hands"":""Right""}","","","","","","","","","",""
"html-keyboard-response","574","170547","0.0-36.0","","4742","If you are using your <strong></u>right hand</u></strong>, then good job! If not, please do so in the main part of the experiment.<br><br>Press Enter to continue","13","","","","","","","","","","",""
"call-function","575","170547","0.0-37.0","","","","","","","","","","","","","","",""
"html-keyboard-response","576","176986","0.0-38.0","","6439","<div class = 'my_window'><p><h1>Good Job!</h1></p><br><p>Now that you've got the hang of the task, we will move on to the main part of the experiment.</p><p>Just like in the practice trials, you will hold down the G and H keys with your <strong><u>right hand</u></strong>, and if you see the letter I, release the G key by lifting your index finger as fast as you can, and if you see the letter M, release the H key by lifting your middle finger as fast as you can. You will NOT get feedback (Correct, Incorrect) after your responses. Ignore the hands in the background.</p><p>Releasing the key will cause the audio tone to play. <strong><u>For the main trials, the audio tone will play anywhere between 1-1000ms after your key release (Not just 1, 500, and 1000 anymore).</u></strong></p><p>Your job is to estimate, as best as you can, the interval between your key release and the audio tone using the slider.</p><p>There are 192 trials overall. You will get a self-paced break every 48 trials. Take your time; however, please complete this experiment within the hour of starting it and please complete the experiment with minimal distractions.</p><br><p>Press ENTER to begin.</p></div>","13","","","","","","","","","","",""
"html-keyboard-response","577","180410","0.0-39.0","","3423","<div class = 'my_window'><h1>Remember</h1><p>The audio tone will play <strong><u>anywhere</strong></u> between 1-1000ms (NOT just 1ms, 500ms, or 1000ms anymore) after your action. Please try your best to estimate the interval using the full range of the slider.</p><br><p>Press ENTER to continue.</p>","13","","","","","","","","","","",""
"call-function","578","180410","0.0-40.0-0.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","621","182706","0.0-40.0-2.0","","462","Stim/Stim-BG/MM_I.PNG","71","","","2","exp","100","2","0","IC","g","true",""
"audio-keyboard-response","622","183087","0.0-40.0-3.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","623","183606","0.0-40.0-4.0","","","","","","","","","","","","","","",""
"image-slider-response","624","186570","0.0-40.0-5.0","","2962","","","","","","","","","","","","","1"
"call-function","625","186571","0.0-40.0-0.1","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","678","189178","0.0-40.0-2.1","","552","Stim/Stim-BG/IN_I.PNG","71","","","1","exp","100","1","0","C","g","true",""
"audio-keyboard-response","679","189536","0.0-40.0-3.1","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","680","190040","0.0-40.0-4.1","","","","","","","","","","","","","","",""
"image-slider-response","681","195067","0.0-40.0-5.1","","5025","","","","","","","","","","","","","500"
"call-function","682","195067","0.0-40.0-0.2","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","727","197411","0.0-40.0-2.2","","495","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","400","2","1","C","h","true",""
"audio-keyboard-response","728","198066","0.0-40.0-3.2","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","729","198574","0.0-40.0-4.2","","","","","","","","","","","","","","",""
"image-slider-response","730","199482","0.0-40.0-5.2","","907","","","","","","","","","","","","","500"
"call-function","731","199483","0.0-40.0-0.3","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","765","201650","0.0-40.0-2.3","","514","Stim/Stim-GB/IN_M.PNG","72","","","1","exp","100","1","1","IC","h","true",""
"audio-keyboard-response","766","202016","0.0-40.0-3.3","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","767","202526","0.0-40.0-4.3","","","","","","","","","","","","","","",""
