"trial_type","trial_index","time_elapsed","internal_node_id","value","rt","stimulus","key_press","responses","success","hand","test","gap","finger","cue","con","correct_response","correct","response"
"html-keyboard-response","1544","230898","0.0-39.0","","5520","<div class = 'my_window'><h1>Remember</h1><p>The audio tone will play <strong><u>anywhere</strong></u> between 1-1000ms (NOT just 1ms, 500ms, or 1000ms anymore) after your action. Please try your best to estimate the interval using the full range of the slider.</p><br><p>Press ENTER to continue.</p>","13","","","","","","","","","","",""
"call-function","1545","230899","0.0-40.0-0.0","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1760","233467","0.0-40.0-2.0","","410","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","700","2","1","C","h","true",""
"audio-keyboard-response","1761","234470","0.0-40.0-3.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1762","234971","0.0-40.0-4.0","","","","","","","","","","","","","","",""
"image-slider-response","1763","239564","0.0-40.0-5.0","","4589","","","","","","","","","","","","","652"
"call-function","1764","239565","0.0-40.0-0.1","","","","","","","","","","","","","","",""
"fixation-image-keyboard-release","1984","241906","0.0-40.0-2.1","","374","Stim/Stim-GB/II_I.PNG","71","","","2","exp","700","1","0","C","g","true",""
"audio-keyboard-response","1985","242909","0.0-40.0-3.1","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","1986","243411","0.0-40.0-4.1","","","","","","","","","","","","","","",""
"image-slider-response","1987","249160","0.0-40.0-5.1","","5744","","","","","","","","","","","","","216"
"call-function","1988","249161","0.0-40.0-0.2","","","","","","","","","","","","","","",""
